,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,ori,region_desc,region_name,state_abbr,state_name
11867,Uhrichsville Police Department,City,TUSCARAWAS,East North Central,40.447441,-81.471157,1.0,OH0790600,Region II,Midwest,OH,Ohio
11868,Germantown Police Department,City,MONTGOMERY,East North Central,39.62576,-84.373314,1.0,OH0570300,Region II,Midwest,OH,Ohio
11869,Kirtland Police Department,City,LAKE,East North Central,41.617744,-81.35734,0.0,OH0432200,Region II,Midwest,OH,Ohio
11870,Perrysburg Township Police Department,City,WOOD,East North Central,41.360183,-83.622682,1.0,OH0872800,Region II,Midwest,OH,Ohio
11871,New Washington Police Department,City,CRAWFORD,East North Central,40.848508,-82.924771,0.0,OH0170400,Region II,Midwest,OH,Ohio
11872,Magnolia Police Department,City,CARROLL; STARK,East North Central,40.814131,-81.365667,1.0,OH0763000,Region II,Midwest,OH,Ohio
11873,Monroeville Police Department,City,HURON,East North Central,41.14508,-82.594641,1.0,OH0390700,Region II,Midwest,OH,Ohio
11874,Fostoria Police Department,City,WOOD; HANCOCK; SENECA,East North Central,41.156433,-83.414085,1.0,OH0740100,Region II,Midwest,OH,Ohio
11875,Beaver Township Police Department,City,MAHONING,East North Central,40.944027,-80.66761,1.0,OH0501300,Region II,Midwest,OH,Ohio
11876,Henry County Sheriff's Office,County,HENRY,East North Central,41.39122,-84.12438,1.0,OH0350000,Region II,Midwest,OH,Ohio
11877,Marion Township Police Department,City,ALLEN,East North Central,40.771627,-84.106103,1.0,OH0021600,Region II,Midwest,OH,Ohio
11878,Lakewood Police Department,City,CUYAHOGA,East North Central,41.484337,-81.776634,1.0,OH0182600,Region II,Midwest,OH,Ohio
11879,Harrisburg Police Department,City,FRANKLIN,East North Central,39.969575,-83.006863,0.0,OH0251700,Region II,Midwest,OH,Ohio
11880,Wellsville Police Department,City,COLUMBIANA,East North Central,40.601006,-80.65175,0.0,OH0150800,Region II,Midwest,OH,Ohio
11881,Hartford Township Police Department,City,TRUMBULL,East North Central,41.308936,-80.767656,1.0,OH0781900,Region II,Midwest,OH,Ohio
11882,Cleveland Heights Police Department,City,CUYAHOGA,East North Central,41.51443,-81.55112,0.0,OH0181500,Region II,Midwest,OH,Ohio
11883,Wickliffe Police Department,City,LAKE,East North Central,41.924116,-81.392643,1.0,OH0431100,Region II,Midwest,OH,Ohio
11884,Waverly Police Department,City,PIKE,East North Central,39.125317,-82.98343,1.0,OH0660100,Region II,Midwest,OH,Ohio
11885,London Police Department,City,MADISON,East North Central,39.88523,-83.4463,1.0,OH0490100,Region II,Midwest,OH,Ohio
11886,"German Township Police Department, Montgomery County",City,MONTGOMERY,East North Central,,,1.0,OH0572500,Region II,Midwest,OH,Ohio
11887,Grove City Police Department,City,FRANKLIN,East North Central,39.969575,-83.006863,1.0,OH0250600,Region II,Midwest,OH,Ohio
11888,Wellington Police Department,City,LORAIN,East North Central,41.168377,-82.21677,0.0,OH0470900,Region II,Midwest,OH,Ohio
11889,Bloomdale Police Department,City,WOOD,East North Central,41.360183,-83.622682,0.0,OH0870600,Region II,Midwest,OH,Ohio
11890,Ottawa Hills Police Department,City,LUCAS,East North Central,41.6617,-83.64113,1.0,OH0480300,Region II,Midwest,OH,Ohio
11891,Commercial Point Police Department,City,PICKAWAY,East North Central,39.648947,-83.052827,1.0,OH0650300,Region II,Midwest,OH,Ohio
11892,Swanton Police Department,City,LUCAS; FULTON,East North Central,41.588226,-83.889305,1.0,OH0260400,Region II,Midwest,OH,Ohio
11893,Knox County Sheriff's Office,County,KNOX,East North Central,40.40362,-82.422393,1.0,OH0420000,Region II,Midwest,OH,Ohio
11894,Crestline Police Department,City,RICHLAND; CRAWFORD,East North Central,40.784172,-82.73718,1.0,OH0170200,Region II,Midwest,OH,Ohio
11895,New Miami Police Department,City,BUTLER,East North Central,39.439747,-84.565734,0.0,OH0090600,Region II,Midwest,OH,Ohio
11896,Toledo Police Department,City,LUCAS,East North Central,41.65603,-83.535126,0.0,OH0480700,Region II,Midwest,OH,Ohio
11897,Lorain Police Department,City,LORAIN,East North Central,41.467964,-82.179665,1.0,OH0470500,Region II,Midwest,OH,Ohio
11898,New Boston Police Department,City,SCIOTO,East North Central,38.815009,-82.998963,0.0,OH0730100,Region II,Midwest,OH,Ohio
11899,Rocky River Police Department,City,CUYAHOGA,East North Central,41.760392,-81.724217,1.0,OH0184600,Region II,Midwest,OH,Ohio
11900,Junction City Police Department,City,PERRY,East North Central,39.743187,-82.237952,1.0,OH0640700,Region II,Midwest,OH,Ohio
11901,Luckey Police Department,City,WOOD,East North Central,41.360183,-83.622682,0.0,OH0871500,Region II,Midwest,OH,Ohio
11902,Dalton Police Department,City,WAYNE,East North Central,40.829661,-81.887194,0.0,OH0850800,Region II,Midwest,OH,Ohio
11903,Ohio University,University or College,ATHENS,East North Central,39.333848,-82.046008,0.0,OH0051000,Region II,Midwest,OH,Ohio
11904,"Oakwood Police Department, Paulding County",City,PAULDING,East North Central,41.09578,-84.380424,0.0,OH0630900,Region II,Midwest,OH,Ohio
11905,Mingo Junction Police Department,City,JEFFERSON,East North Central,40.32215,-80.60589,0.0,OH0410200,Region II,Midwest,OH,Ohio
11906,Trotwood Police Department,City,MONTGOMERY,East North Central,39.79456,-84.29269,1.0,OH0571200,Region II,Midwest,OH,Ohio
